Collection_code	Catalog_number	Field_number	Voucher_number	Bioinformatics_ID	new_species	country	state	Latitude	Longitude	Pooled assembly	Assemblies
TNHC-GDC 1962	TNHC:Herpetology:1962	JSF 921	KU 194446	T1962_PAC	R. forreri (presumed)	México	Guerrero	18.315918	-100.298865	No	PACMX
TNHC-GDC 1963	TNHC:Herpetology:1963	JSF 922	KU 194447	T1963_arcelia_PAC	R. forreri	México	Guerrero	18.315918	-100.298865	Yes	forreri, PACMX
TNHC-GDC 1964	TNHC:Herpetology:1964	JSF 924	KU 194449	T1964_arcelia_PAC	R. forreri	México	Guerrero	18.315918	-100.298865	Yes	forreri, PACMX
TNHC-GDC 1965	TNHC:Herpetology:1965	JSF 911	KU 194456	T1965_papa_PAC	R. omiltemana	México	Guerrero	17.158608	-99.590452	Yes	PACMX
TNHC-GDC 1969	TNHC:Herpetology:1969	JSF 932	KU 194465	T1969_Rpus_RJO	NA	México	Guerrero	NA	NA	Yes	NA
TNHC-GDC 1987	TNHC:Herpetology:1987	JSF 956	KU 194560	T1987_Rspe_CMX	NA	México	Michoacán	19.445548	-100.263328	Yes	ATL_MXPL
TNHC-GDC 1989	TNHC:Herpetology:1989	JSF 957	KU 194561	T1989_Rspe_CMX	NA	México	Michoacán	19.445548	-100.263328	Yes	ATL_MXPL
TNHC-GDC 1991	TNHC:Herpetology:1991	JSF 959	KU 194563	T1991_Rspe_CMX	NA	México	Michoacán	19.445548	-100.263328	Yes	ATL_MXPL
TNHC-GDC 1995	TNHC:Herpetology:1995	JSF 961	N/A	T1995_CMX	R. neovolcanica	México	Michoacán	19.696476	-101.007809	Yes	ATL_MXPL
TNHC-GDC 1996	TNHC:Herpetology:1996	JSF 962	N/A	T1996_CMX	R. neovolcanica	México	Michoacán	19.696476	-101.007809	Yes	ATL_MXPL
TNHC-GDC 1997	TNHC:Herpetology:1997	JSF 964	KU 194565	T1997_Rspe_CMX	NA	México	Michoacán	19.445548	-100.263328	Yes	ATL_MXPL
TNHC-GDC 2002	TNHC:Herpetology:2002	JSF 963	N/A	T2002_CMX	R. neovolcanica	México	Michoacán	19.696476	-101.007809	Yes	ATL_MXPL
TNHC-GDC 2020	TNHC:Herpetology:2020	JSF 992	KU 194479	T2020_Aten_PAC	NA	México	Jalisco	19.527987	-103.44055	Yes	PACMX
TNHC-GDC 2022	TNHC:Herpetology:2022	JSF 993	KU 194480	T2022_Aten_PAC	NA	México	Jalisco	19.527987	-103.44055	Yes	PACMX
TNHC-GDC 2024	TNHC:Herpetology:2024	JSF 998	KU 194490	T2024_PAC	NA	México	Jalisco	19.74643	-103.182942	Yes	PACMX
