gbifID	basisOfRecord	occurrenceStatus	decimalLatitude	decimalLongitude
675527739	PRESERVED_SPECIMEN	PRESENT		
675521380	PRESERVED_SPECIMEN	PRESENT		
675521347	PRESERVED_SPECIMEN	PRESENT		
675518482	PRESERVED_SPECIMEN	PRESENT		
675518479	PRESERVED_SPECIMEN	PRESENT		
675518476	PRESERVED_SPECIMEN	PRESENT		
675518474	PRESERVED_SPECIMEN	PRESENT		
675518472	PRESERVED_SPECIMEN	PRESENT		
675516085	PRESERVED_SPECIMEN	PRESENT		
675516083	PRESERVED_SPECIMEN	PRESENT		
675516079	PRESERVED_SPECIMEN	PRESENT		
675516077	PRESERVED_SPECIMEN	PRESENT		
675516075	PRESERVED_SPECIMEN	PRESENT		
675516073	PRESERVED_SPECIMEN	PRESENT		
675516071	PRESERVED_SPECIMEN	PRESENT		
675516069	PRESERVED_SPECIMEN	PRESENT		
675516067	PRESERVED_SPECIMEN	PRESENT		
675516065	PRESERVED_SPECIMEN	PRESENT		
675516063	PRESERVED_SPECIMEN	PRESENT		
675516061	PRESERVED_SPECIMEN	PRESENT		
675516059	PRESERVED_SPECIMEN	PRESENT		
675516057	PRESERVED_SPECIMEN	PRESENT		
675516055	PRESERVED_SPECIMEN	PRESENT		
675516053	PRESERVED_SPECIMEN	PRESENT		
675516051	PRESERVED_SPECIMEN	PRESENT		
675516049	PRESERVED_SPECIMEN	PRESENT		
675516045	PRESERVED_SPECIMEN	PRESENT		
675516042	PRESERVED_SPECIMEN	PRESENT		
675516041	PRESERVED_SPECIMEN	PRESENT		
675516039	PRESERVED_SPECIMEN	PRESENT		
675516037	PRESERVED_SPECIMEN	PRESENT		
675516035	PRESERVED_SPECIMEN	PRESENT		
675510362	PRESERVED_SPECIMEN	PRESENT		
675510360	PRESERVED_SPECIMEN	PRESENT		
675510358	PRESERVED_SPECIMEN	PRESENT		
675510356	PRESERVED_SPECIMEN	PRESENT		
675510354	PRESERVED_SPECIMEN	PRESENT		
675510352	PRESERVED_SPECIMEN	PRESENT		
675510350	PRESERVED_SPECIMEN	PRESENT		
675510348	PRESERVED_SPECIMEN	PRESENT		
675510346	PRESERVED_SPECIMEN	PRESENT		
675510344	PRESERVED_SPECIMEN	PRESENT		
675510342	PRESERVED_SPECIMEN	PRESENT		
675510340	PRESERVED_SPECIMEN	PRESENT		
675510338	PRESERVED_SPECIMEN	PRESENT		
675510335	PRESERVED_SPECIMEN	PRESENT		
675510333	PRESERVED_SPECIMEN	PRESENT		
675510331	PRESERVED_SPECIMEN	PRESENT		
675510329	PRESERVED_SPECIMEN	PRESENT		
675510326	PRESERVED_SPECIMEN	PRESENT		
675510324	PRESERVED_SPECIMEN	PRESENT		
675510321	PRESERVED_SPECIMEN	PRESENT		
675510319	PRESERVED_SPECIMEN	PRESENT		
675510317	PRESERVED_SPECIMEN	PRESENT		
675510315	PRESERVED_SPECIMEN	PRESENT		
675510313	PRESERVED_SPECIMEN	PRESENT		
675510310	PRESERVED_SPECIMEN	PRESENT		
675510308	PRESERVED_SPECIMEN	PRESENT		
675510306	PRESERVED_SPECIMEN	PRESENT		
675510304	PRESERVED_SPECIMEN	PRESENT		
675510301	PRESERVED_SPECIMEN	PRESENT		
675510299	PRESERVED_SPECIMEN	PRESENT		
675510297	PRESERVED_SPECIMEN	PRESENT		
675510295	PRESERVED_SPECIMEN	PRESENT		
675510293	PRESERVED_SPECIMEN	PRESENT		
675510291	PRESERVED_SPECIMEN	PRESENT		
675510289	PRESERVED_SPECIMEN	PRESENT		
675510287	PRESERVED_SPECIMEN	PRESENT		
675510285	PRESERVED_SPECIMEN	PRESENT		
675510283	PRESERVED_SPECIMEN	PRESENT		
675510281	PRESERVED_SPECIMEN	PRESENT		
675510279	PRESERVED_SPECIMEN	PRESENT		
675510276	PRESERVED_SPECIMEN	PRESENT		
675510273	PRESERVED_SPECIMEN	PRESENT		
675510271	PRESERVED_SPECIMEN	PRESENT		
675510269	PRESERVED_SPECIMEN	PRESENT		
675510266	PRESERVED_SPECIMEN	PRESENT		
675510264	PRESERVED_SPECIMEN	PRESENT		
675510262	PRESERVED_SPECIMEN	PRESENT		
675510260	PRESERVED_SPECIMEN	PRESENT		
675510257	PRESERVED_SPECIMEN	PRESENT		
675510255	PRESERVED_SPECIMEN	PRESENT		
675510253	PRESERVED_SPECIMEN	PRESENT		
675510251	PRESERVED_SPECIMEN	PRESENT		
675510249	PRESERVED_SPECIMEN	PRESENT		
675510247	PRESERVED_SPECIMEN	PRESENT		
675510245	PRESERVED_SPECIMEN	PRESENT		
675510243	PRESERVED_SPECIMEN	PRESENT		
675510241	PRESERVED_SPECIMEN	PRESENT		
675510238	PRESERVED_SPECIMEN	PRESENT		
675510236	PRESERVED_SPECIMEN	PRESENT		
675510234	PRESERVED_SPECIMEN	PRESENT		
675510232	PRESERVED_SPECIMEN	PRESENT		
675510230	PRESERVED_SPECIMEN	PRESENT		
668627686	PRESERVED_SPECIMEN	PRESENT		
668535671	PRESERVED_SPECIMEN	PRESENT		
668438844	PRESERVED_SPECIMEN	PRESENT		
657523196	PRESERVED_SPECIMEN	PRESENT		
657523195	PRESERVED_SPECIMEN	PRESENT		
657523194	PRESERVED_SPECIMEN	PRESENT		
657523123	PRESERVED_SPECIMEN	PRESENT		
657523122	PRESERVED_SPECIMEN	PRESENT		
657523121	PRESERVED_SPECIMEN	PRESENT		
657523120	PRESERVED_SPECIMEN	PRESENT		
657523119	PRESERVED_SPECIMEN	PRESENT		
657523118	PRESERVED_SPECIMEN	PRESENT		
657523117	PRESERVED_SPECIMEN	PRESENT		
657507569	PRESERVED_SPECIMEN	PRESENT		
